experiment_domain,trial_id,repetition,random_seed,injected_failure_type,injected_severity,expected_root_cause,failure_detected,detected_failure_category,detection_correct,predicted_root_cause,classification_correct,classification_confidence,remediation_action,remediation_executed,human_approval_required,cycle_status,recovery_verified,input_record_count,output_record_count,quarantined_record_count,runtime_milliseconds,original_size_bytes,observed_size_bytes,regenerated_size_bytes,checksum_restored
dataframe,healthy_control-low-r001-s43,1,43,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,27.9761,,,,
dataframe,healthy_control-low-r002-s44,2,44,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,26.3528,,,,
dataframe,healthy_control-low-r003-s45,3,45,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,25.1728,,,,
dataframe,healthy_control-low-r004-s46,4,46,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,25.1522,,,,
dataframe,healthy_control-low-r005-s47,5,47,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,24.9196,,,,
dataframe,healthy_control-low-r006-s48,6,48,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,24.7062,,,,
dataframe,healthy_control-low-r007-s49,7,49,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,24.3838,,,,
dataframe,healthy_control-low-r008-s50,8,50,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,27.2608,,,,
dataframe,healthy_control-low-r009-s51,9,51,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,31.9875,,,,
dataframe,healthy_control-low-r010-s52,10,52,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,28.2166,,,,
dataframe,healthy_control-low-r011-s53,11,53,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,30.2329,,,,
dataframe,healthy_control-low-r012-s54,12,54,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,31.3659,,,,
dataframe,healthy_control-low-r013-s55,13,55,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,28.534,,,,
dataframe,healthy_control-low-r014-s56,14,56,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,28.0663,,,,
dataframe,healthy_control-low-r015-s57,15,57,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,29.4414,,,,
dataframe,healthy_control-low-r016-s58,16,58,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,28.8795,,,,
dataframe,healthy_control-low-r017-s59,17,59,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,31.3112,,,,
dataframe,healthy_control-low-r018-s60,18,60,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,30.4,,,,
dataframe,healthy_control-low-r019-s61,19,61,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,26.9372,,,,
dataframe,healthy_control-low-r020-s62,20,62,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,27.7453,,,,
dataframe,healthy_control-low-r021-s63,21,63,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,27.9,,,,
dataframe,healthy_control-low-r022-s64,22,64,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,29.1949,,,,
dataframe,healthy_control-low-r023-s65,23,65,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,28.2342,,,,
dataframe,healthy_control-low-r024-s66,24,66,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,27.8218,,,,
dataframe,healthy_control-low-r025-s67,25,67,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,29.8507,,,,
dataframe,healthy_control-low-r026-s68,26,68,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,29.5304,,,,
dataframe,healthy_control-low-r027-s69,27,69,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,27.5804,,,,
dataframe,healthy_control-low-r028-s70,28,70,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,26.9856,,,,
dataframe,healthy_control-low-r029-s71,29,71,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,28.0918,,,,
dataframe,healthy_control-low-r030-s72,30,72,healthy_control,low,healthy_control,False,healthy_control,True,healthy_control,True,1.0,continue_pipeline,True,False,healthy,True,10000.0,10000.0,0.0,29.1629,,,,
dataframe,source_failure-low-r001-s10043,1,10043,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7431,,,,
dataframe,source_failure-low-r002-s10044,2,10044,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0667,,,,
