experiment_domain,injected_failure_type,injected_severity,analysis_condition,trials,failures_detected,false_positives,false_negatives,median_runtime_ms,p95_runtime_ms,mean_classification_confidence,dominant_cycle_status,detection_accuracy_successes,detection_accuracy_trials,detection_accuracy_rate,detection_accuracy_ci95_lower,detection_accuracy_ci95_upper,classification_accuracy_successes,classification_accuracy_trials,classification_accuracy_rate,classification_accuracy_ci95_lower,classification_accuracy_ci95_upper,verified_recovery_successes,verified_recovery_trials,verified_recovery_rate,verified_recovery_ci95_lower,verified_recovery_ci95_upper
artifact,healthy_control,low,healthy_control,30,0,0,0,6.1415500000000005,6.547054999999999,1.0,healthy,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
artifact,output_artifact_corruption,high,output_artifact_corruption,30,30,0,0,8.310500000000001,14.024199999999993,1.0,recovered,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
artifact,output_artifact_corruption,low,output_artifact_corruption,30,30,0,0,8.40165,9.267199999999999,1.0,recovered,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
artifact,output_artifact_corruption,medium,output_artifact_corruption,30,30,0,0,8.39585,9.0259,1.0,recovered,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
dataframe,duplicate_generation,high,duplicate_generation,30,30,0,0,11.33615,12.19097,1.0,recovered,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
dataframe,duplicate_generation,low,duplicate_generation,30,30,0,0,10.9153,11.871685,0.9909999999999999,recovered,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
dataframe,duplicate_generation,medium,duplicate_generation,30,30,0,0,10.66815,11.08252,1.0,recovered,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
dataframe,freshness_violation,high,freshness_violation,30,30,0,0,25.9468,28.45593,1.0,recovery_scheduled,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,0,30,0.0,0.0,0.11351339317396873
dataframe,freshness_violation,low,freshness_boundary_control,30,0,0,0,25.3553,26.890574999999995,1.0,healthy,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0
dataframe,freshness_violation,medium,freshness_violation,30,30,0,0,25.3142,26.758495,1.0,recovery_scheduled,30,30,1.0,0.8864866068260314,1.0,30,30,1.0,0.8864866068260314,1.0,0,30,0.0,0.0,0.11351339317396873
